Job Title,Department,Service Area,Annual Salary
"Architect, Landscape",Park Planning & Development,Community Services,76235.22
Civil Engineer I,Ut Water UTL Engineering Div,Utility Services,76219.78
Librarian II,Library District,Library District,76100
"Analyst II, Finance",Police Administration,Police Services,75787.95
"Supervisor, Enforcement",Natural Areas,Community Services,75751.35
"Sr Specialist, Econ Sustain",Economic Health Office,Sustainability Services,75704.92
"Analyst I, GIS",Ut Distribution System Div,Utility Services,75689.38
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",75633
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",75633
"Supervisor, Fleet",Operation Services,Information & Employee Svcs,75505.41
"Supervisor, Fleet",Operation Services,Information & Employee Svcs,75505.41
"Supervisor, Fleet",Operation Services,Information & Employee Svcs,75505.41
"Lead Spc, Soc Sustainability",Social Sustainability,Sustainability Services,75490.81
Plans Examiner,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",75425.87
"Sr Specialist, Cust Support",Broadband,Utility Services,75335.89
Plant Operator,Ut Water Production Div,Utility Services,75132
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,75132
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,75132
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,75132
"Supervisor, Energy Services",Operation Services,Information & Employee Svcs,75088
"Lead Technician, Sciences",Ut Wtr Reclama & Biosolids Div,Utility Services,75080.67
Plans Examiner,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",75059.73
Project Manager,Transfort / Parking Services,"Planning, Dev & Transportation",75000.12
"Analyst II, Finance",Utility Financial Operations,Utility Services,75000.12
"Sr Technician, Police Admin",Police Administration,Police Services,74984
Electric Lineworker,L&P Electric Field Services,Utility Services,74935
Electric Lineworker,L&P Electric Field Services,Utility Services,74935
"Analyst I, GIS",Information Technology,Information & Employee Svcs,74880
"Analyst I, GIS",L&P Operations & Technology,Utility Services,74880
Chemist,Ut Water Quality Services Div,Utility Services,74880
"Analyst I, HRIS",Human Resources,Information & Employee Svcs,74878.96
"Sr Technician, Water Field Ops",Ut Collection System Div,Utility Services,74844.01
Chemist,Ut Water Quality Services Div,Utility Services,74821.28
"Crew Chief, Transportation Ops",Streets,"Planning, Dev & Transportation",74734.33
"Sr Supervisor, Information Svc",Police Information Services,Police Services,74672.79
"Auditor II, Sales Tax",Sales Tax,Financial Services,74652.03
"Crew Chief, Transportation Ops",Streets,"Planning, Dev & Transportation",74550.29
"Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",74511.56
"Supervisor, Plant Operations",Ut Wtr Reclama & Biosolids Div,Utility Services,74224.8
"Crew Chief, Water Field Ops",Ut Distribution System Div,Utility Services,74187.12
"Analyst I, GIS",Information Technology,Information & Employee Svcs,74168.85
Project Manager,Transfort / Parking Services,"Planning, Dev & Transportation",74159.98
"Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",74156.52
"Planner, Transit",FC Moves,"Planning, Dev & Transportation",74075.22
"Sr Supervisor, Parks",Parks,Community Services,73997.71
"Sr Specialist, Enviro Sustain",City Manager's Office,Executive Services,73965.29
"Planner, Transit",FC Moves,"Planning, Dev & Transportation",73943.48
Plans Examiner,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",73907.08
"Crew Chief, Water Field Ops",Ut Distribution System Div,Utility Services,73819.07
"Sr Supervisor, Cultural Svcs",Cultural Services,Community Services,73710
"Crew Chief, Water Field Ops",Ut Drainage System Div,Utility Services,73653.35
"Supervisor, Client Services",Information Technology,Information & Employee Svcs,73644.46
"Sr Specialist, Real Estate",Operation Services,Information & Employee Svcs,73506.01
Electric Systems Operator,L&P Operations & Technology,Utility Services,73415
Electric Meter Tech,L&P Electrical Engineering,Utility Services,73411
"Crew Chief, Parks",Parks,Community Services,73246.35
"Crew Chief, Natural Areas",Natural Areas,Community Services,73164.2
Project Manager,Utilities Customer Connections,Utility Services,73105.23
"Lead Technician, Sciences",Ut Wtr Reclama & Biosolids Div,Utility Services,73070.57
"Asst Superintendent, Parks",Parks,Community Services,72918.49
PIO & Communications Coordntr,Poudre Fire Authority,Poudre Fire Authority,72869.68
"Sr Supervisor, Cultural Svcs",Cultural Services,Community Services,72841.48
Crime Analyst,Police Administration,Police Services,72817.93
"Analyst I, Data",Transfort / Parking Services,"Planning, Dev & Transportation",72800
"Analyst I, Data",Transfort / Parking Services,"Planning, Dev & Transportation",72800
"Planner, Environmental",Natural Areas,Community Services,72799.49
"Crew Chief, Natural Areas",Natural Areas,Community Services,72460.42
"Sr Supervisor, Public Engage",Cultural Services,Community Services,72411.45
"Sr Supervisor, Plant Ops",L&P Electrical Engineering,Utility Services,72356.56
Chemist,Ut Water Production Div,Utility Services,72306
"Crew Chief, Water Field Ops",Ut Collection System Div,Utility Services,72294.13
Sr Project Manager,Utilities Customer Connections,Utility Services,72257.53
"Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",72028.84
Exec Assistant To The City Mgr,City Manager's Office,Executive Services,71999.98
"Sr Specialist, Communications",Utilities Customer Connections,Utility Services,71971.91
"Analyst II, Finance",Finance Administration,Financial Services,71890.07
"Analyst I, Apps Software",Information Technology,Information & Employee Svcs,71880.12
"Sr Inspector, Construction",Engineering,"Planning, Dev & Transportation",71847.03
"Crew Chief, Water Field Ops",Ut Distribution System Div,Utility Services,71769.84
"Crew Chief, Water Field Ops",Ut Drainage System Div,Utility Services,71769.84
"Crew Chief, Water Field Ops",Ut Distribution System Div,Utility Services,71769.84
"Crew Chief, Water Field Ops",Ut Water Meters Div,Utility Services,71769.33
"Lead Specialist, Marketing",Recreation,Community Services,71760
"Supervisor, Facilities",Operation Services,Information & Employee Svcs,71760
"Supervisor, Civil Engineering",Engineering,"Planning, Dev & Transportation",71726.16
"Sr Specialist, Enviro Sustain",Environmental Services,Sustainability Services,71721.44
"Analyst I, Finance",PDT Administration,"Planning, Dev & Transportation",71551.34
"Analyst II, Finance",Utility Financial Operations,Utility Services,71500
"Asst Superintendent, Parks",Parks,Community Services,71300.92
"Sr Specialist, Sciences",Utilities Customer Connections,Utility Services,71071.52
Criminalist,Investigations,Police Services,70955.87
IT Support Specialist,Poudre Fire Authority,Poudre Fire Authority,70905.12
"Analyst II, Finance",PDT Administration,"Planning, Dev & Transportation",70899.81
"Supervisor, Facilities",Operation Services,Information & Employee Svcs,70743.97
"Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",70720
"Sr Supervisor, Recreation",Recreation,Community Services,70672.55
"Sr Supervisor, Information Svc",Police Information Services,Police Services,70579.49
"Sr Specialist, Recreation",Recreation,Community Services,70559.06
"Sr Supervisor, Recreation",Recreation,Community Services,70558.8
"Sr Supervisor, Recreation",Recreation,Community Services,70558.54
"Sr Specialist, Econ Sustain",Economic Health Office,Sustainability Services,70525.73
"Crew Chief, Electric Dist",L&P Electric Field Services,Utility Services,70453.8
"Sr Inspector, Compliance",Traffic,"Planning, Dev & Transportation",70278.22
"Technician II, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,70277
"Technician II, Wtr Field Util",Ut Water Production Div,Utility Services,70276.96
"Sr Technician, Maintenance",Ut Water Production Div,Utility Services,70202.9
Accountant II,Accounting and Treasury,Financial Services,70200
"Supervisor, Network Engr",Broadband,Utility Services,70200
"Sr Specialist, Sciences",Utilities Customer Connections,Utility Services,70087.68
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Emergency Commun Dispatcher,Police Information Services,Police Services,70075
Civil Engineer I,Engineering,"Planning, Dev & Transportation",70054.6
"Sr Technician, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,70046.08
Lead Inspector Code Compliance,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",70000.06
"Sr Specialist, Cust Support",Broadband,Utility Services,70000
Lead Park Ranger,Parks,Community Services,69982.99
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",69926
"Technician II, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,69864.77
"Planner, Environmental",Natural Areas,Community Services,69823
"Sr Technician, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,69818.34
Criminalist,Investigations,Police Services,69798.36
Plant Operator,Ut Water Production Div,Utility Services,69752
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,69752
"Sr Specialist, Real Estate",Operation Services,Information & Employee Svcs,69680
"Sr Specialist, Public Engage",Utilities Customer Connections,Utility Services,69626.96
"Sr Supervisor, Public Engage",Utilities Customer Connections,Utility Services,69577.04
"Technician II, Maintenance",Ut Water Production Div,Utility Services,69438.37
"Sr Specialist, Public Engage",Utilities Customer Connections,Utility Services,69389.74
"Sr Specialist, Real Estate",Operation Services,Information & Employee Svcs,69009.98
"Sr Technician, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,69006.7
Comm & Development Mgr,Library District,Library District,69000.1
"Specialist, Public Engagement",Natural Areas,Community Services,68958.5
"Sr Technician, Fiber",Broadband,Utility Services,68952
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
Mechanic,Operation Services,Information & Employee Svcs,68951
"Specialist, Sciences",Natural Areas,Community Services,68900
Electric Lineworker,L&P Electric Field Services,Utility Services,68878
Electric Lineworker,L&P Electric Field Services,Utility Services,68878
Electric Lineworker,L&P Electric Field Services,Utility Services,68878
Electric Lineworker,L&P Electric Field Services,Utility Services,68878
Electric Lineworker,L&P Electric Field Services,Utility Services,68878
Electric Lineworker,L&P Electric Field Services,Utility Services,68878
"Sr Supervisor, Project Mgmt",Utilities Customer Connections,Utility Services,68725.02
"Supervisor, Client Services",Information Technology,Information & Employee Svcs,68675.48
"Sr Inspector, Construction",Engineering,"Planning, Dev & Transportation",68657.23
"Specialist, Facilities",Operation Services,Information & Employee Svcs,68556.8
"Lead Technician, Sciences",Ut Wtr Reclama & Biosolids Div,Utility Services,68542.65
"Sr Specialist, Public Engage",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",68500
"Technician II, Water Engr",Ut Distribution System Div,Utility Services,68413.2
"Crew Chief, Transportation Ops",Streets,"Planning, Dev & Transportation",68329.92
"Crew Chief, Forestry",Parks,Community Services,68325.19
"Sr Specialist, Enviro Sustain",Environmental Services,Sustainability Services,68274.44
Investigative Aide,Investigations,Police Services,68189.23
"Engineer I, Network",Broadband,Utility Services,68140.8
Executive Admin Assistant,City Attorney's Office,Legal Services,68114.51
"Sr Inspector, Construction",Engineering,"Planning, Dev & Transportation",68069.12
Emergency Management Spec,Poudre Fire Authority,Poudre Fire Authority,68064.88
Buyer II,Purchasing,Financial Services,68019.06
"Sr Spc, Process Improvement",Budget,Financial Services,67999.88
Lead Inspector Code Compliance,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",67999.88
Deputy City Clerk,City Clerk's Office,Executive Services,67996.39
"Supervisor, Administration",Utilities Management,Utility Services,67949.58
"Specialist, Sciences",Natural Areas,Community Services,67840.04
"Specialist, Wellness",Human Resources,Information & Employee Svcs,67825.05
"Specialist, Communications",Comm. & Public Involvement,Information & Employee Svcs,67725.77
"Specialist, Customer Support",Utilities Customer Connections,Utility Services,67699.84
Web Applications Developer,Library District,Library District,67655.84
"Technician II, Maintenance",Ut Water Production Div,Utility Services,67574.02
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",67295
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",67295
"Sr Technician, Maintenance",Ut Water Production Div,Utility Services,67268.41
Chemist,Ut Water Quality Services Div,Utility Services,67102.33
"Sr Supervisor, Cust Support",Transfort / Parking Services,"Planning, Dev & Transportation",67078.44
"Sr Specialist, OEM",City Manager's Office,Executive Services,67059.2
"Sr Inspector, Construction",Engineering,"Planning, Dev & Transportation",67042.56
"Specialist, Public Engagement",Cultural Services,Community Services,66950
"Analyst I, Benefits",Human Resources,Information & Employee Svcs,66950
"Analyst I, GIS",Information Technology,Information & Employee Svcs,66950
"Specialist, Sales",Broadband,Utility Services,66950
"Sr Inspector, Construction",Engineering,"Planning, Dev & Transportation",66932.22
"Technician II, Police Records",Police Information Services,Police Services,66876.36
"Technician II, Police Records",Police Information Services,Police Services,66876.36
"Supervisor, Facilities",Transfort / Parking Services,"Planning, Dev & Transportation",66777.34
Investigative Aide,Investigations,Police Services,66739.22
"Sr Supervisor, Cust Support",Utilities Customer Connections,Utility Services,66668.37
Mechanic,Operation Services,Information & Employee Svcs,66647
Investigative Aide,Investigations,Police Services,66617.01
"Operator II, Transportation Op",Streets,"Planning, Dev & Transportation",66590.03
"Sr Technician, Facilities",Operation Services,Information & Employee Svcs,66575.59
"Sr Supervisor, Cust Support",Utilities Customer Connections,Utility Services,66517.75
"Sr Technician, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,66464.4
"Sr Specialist, Enviro Sustain",Environmental Services,Sustainability Services,66414.4
"Sr Technician, Client Services",Information Technology,Information & Employee Svcs,66296.65
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",66257.95
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",66257.95
"Sr Supervisor, Marketing",Cultural Services,Community Services,66213.45
"Supervisor, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",66164.69
"Sr Tech, Transportation Ops",Traffic,"Planning, Dev & Transportation",66098.3
Plans Examiner,Utilities Customer Connections,Utility Services,66017.9
"Sr Technician, Client Services",Information Technology,Information & Employee Svcs,66008.88
"Sr Specialist, Communications",Comm. & Public Involvement,Information & Employee Svcs,65920.04
Librarian I,Library District,Library District,65892.75
"Sr Inspector, Construction",Ut Water UTL Engineering Div,Utility Services,65878.74
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,65789
Plant Operator,Ut Water Production Div,Utility Services,65789
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,65789
"Sr Coordinator, Cultural Svcs",Cultural Services,Community Services,65778.98
"Sr Specialist, Social Sustain",Social Sustainability,Sustainability Services,65759.46
"Technician II, Fleet",Operation Services,Information & Employee Svcs,65651.25
Natural Areas Trail Ranger,Natural Areas,Community Services,65641.9
Natural Areas Trail Ranger,Natural Areas,Community Services,65641.9
Natural Areas Trail Ranger,Natural Areas,Community Services,65641.9
"Crew Chief, Parks",Parks,Community Services,65573.94
"Sr Specialist, Social Sustain",Social Sustainability,Sustainability Services,65538.2
"Sr Technician, Client Services",Information Technology,Information & Employee Svcs,65507.72
"Technician II, Maintenance",Ut Water Production Div,Utility Services,65503.8
Emergency Commun Dispatcher,Police Information Services,Police Services,65396
Emergency Commun Dispatcher,Police Information Services,Police Services,65396
Emergency Commun Dispatcher,Police Information Services,Police Services,65396
Executive Administrative Asst,Poudre Fire Authority,Poudre Fire Authority,65267.28
Electric Meter Tech,L&P Electrical Engineering,Utility Services,65209
Electric Meter Tech,L&P Electrical Engineering,Utility Services,65209
"Technician II, Forestry",Parks,Community Services,65125.82
"Sr Technician, Client Services",Information Technology,Information & Employee Svcs,65030.84
"Planner, Environmental",Natural Areas,Community Services,65000
"Sr Supervisor, Parks",Parks,Community Services,65000
"Technician II, Energy Services",Operation Services,Information & Employee Svcs,65000
"Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",65000
Librarian I,Library District,Library District,64896.26
"Crew Chief, Forestry",Parks,Community Services,64843.85
"Supervisor, Administration",City Manager's Office,Executive Services,64811.88
"Supervisor, Administration",Parks,Community Services,64744.79
"Sr Spc, Neighborhood Svcs",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",64724.09
"Sr Inspector, Construction",Engineering,"Planning, Dev & Transportation",64714.8
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",64713.83
Ems Contract Coord,Poudre Fire Authority,Poudre Fire Authority,64706.2
"Sr Locator, Elec Dist Field Op",L&P Electric Field Services,Utility Services,64597.38
Civil Engineer III,Park Planning & Development,Community Services,64526.68
"Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",64521.59
"Planner, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",64428.93
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",64424
"Sr Specialist, Communications",Cultural Services,Community Services,64000
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",63985.94
"Crew Chief, Parks",Parks,Community Services,63962.63
"Technician I, Water Field Util",Ut Wtr Reclama & Biosolids Div,Utility Services,63888
"Sr Coordinator, Recreation",Recreation,Community Services,63885.28
Electrician,Operation Services,Information & Employee Svcs,63835.24
Electrician,Operation Services,Information & Employee Svcs,63835.2
"Sr Inspector, Construction",Engineering,"Planning, Dev & Transportation",63683.1
Chemist,Ut Water Quality Services Div,Utility Services,63682.17
"Technician I, Civil Engr",Ut Drainage System Div,Utility Services,63606.37
"Sr Technician, Network Engr",Broadband,Utility Services,63437.6
"Specialist, Public Engagement",Natural Areas,Community Services,63344.92
"Specialist, Public Engagement",Natural Areas,Community Services,63344.92
"Technician II, Facilities",Operation Services,Information & Employee Svcs,63292.26
"Specialist, Safety",Safety & Risk Management,Financial Services,63190.92
Victim Advocate,Investigations,Police Services,63034.19
Accountant II,Accounting and Treasury,Financial Services,63000
"Specialist, Compliance",Transfort / Parking Services,"Planning, Dev & Transportation",63000
"Analyst I, Finance",Sustainability Services Admin,Sustainability Services,62933.16
"Technician I, Civil Engr",Engineering,"Planning, Dev & Transportation",62906.57
Park Ranger,Parks,Community Services,62906.46
"Specialist, Talent Development",Human Resources,Information & Employee Svcs,62836.86
"Specialist, Talent Acquisition",Human Resources,Information & Employee Svcs,62829.9
"Supervisor, Administration",Streets,"Planning, Dev & Transportation",62829.9
Park Ranger,Parks,Community Services,62826.15
"Specialist, Public Engagement",Utilities Customer Connections,Utility Services,62826.05
Fire Safety Insp/Plan Reviewer,Poudre Fire Authority,Poudre Fire Authority,62825.88
"Specialist, Outreach",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",62787.05
"Sr Coordinator, Forestry",Parks,Community Services,62732.8
"Sr Inspector, Construction",Streets,"Planning, Dev & Transportation",62685.81
"Lead Tech, Graphic Design",Comm. & Public Involvement,Information & Employee Svcs,62627.71
"Sr Technician, Client Services",Information Technology,Information & Employee Svcs,62544.26
"Analyst I, Budget",Budget,Financial Services,62520.02
"Technician II, Energy Services",Operation Services,Information & Employee Svcs,62508.98
"Specialist, Public Engagement",Comm. & Public Involvement,Information & Employee Svcs,62423.92
Executive Admin Assistant,PDT Administration,"Planning, Dev & Transportation",62400
"Sr Inspector, Construction",Streets,"Planning, Dev & Transportation",62400
"Tech II, Processing Support",Investigations,Police Services,62385.16
"Sr Inspector, Construction",Streets,"Planning, Dev & Transportation",62372.09
"Technician II, Fiber",Broadband,Utility Services,62296
Executive Admin Assistant,Finance Administration,Financial Services,62293.16
"Sr Tech, Transportation Ops",Traffic,"Planning, Dev & Transportation",62278.71
"Crew Chief, Parks",Parks,Community Services,62151.61
"Specialist, Public Engagement",Natural Areas,Community Services,62143.24
Executive Administrative Asst,Poudre Fire Authority,Poudre Fire Authority,62068.24
Plant Operator,Ut Water Production Div,Utility Services,62057
Plant Operator,Ut Water Production Div,Utility Services,62057
Plant Operator,Ut Water Production Div,Utility Services,62057
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,62057
Plant Operator,Ut Water Production Div,Utility Services,62057
"Technician II, Energy Services",Operation Services,Information & Employee Svcs,62000
Natural Areas Trail Ranger,Natural Areas,Community Services,61999.6
"Sr Coordinator, HRIS",Human Resources,Information & Employee Svcs,61916.27
"Sr Coordinator, Recreation",Recreation,Community Services,61874.81
"Lead Coord, Utility Rate/Fee",Utility Financial Operations,Utility Services,61860.39
Curator,Cultural Services,Community Services,61839.21
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",61799.94
"Sr Inspector, Construction",Ut Water UTL Engineering Div,Utility Services,61799.94
"Tech II, Processing Support",Investigations,Police Services,61779.48
"Technician II, Facilities",Operation Services,Information & Employee Svcs,61711.72
"Supervisor, Administration",Operation Services,Information & Employee Svcs,61671.14
"Rep II, Police Records",Police Information Services,Police Services,61629.53
Mechanic,Operation Services,Information & Employee Svcs,61613
"Technician II, Natural Areas",Natural Areas,Community Services,61598.49
Executive & HR Assistant,Library District,Library District,61506.45
Answer Center Supervisor,Library District,Library District,61506.43
"Specialist, Active Modes",FC Moves,"Planning, Dev & Transportation",61488.05
"Sr Coordinator, Recreation",Recreation,Community Services,61434.57
Emergency Commun Dispatcher,Police Information Services,Police Services,61419
Emergency Commun Dispatcher,Police Information Services,Police Services,61419
Emergency Commun Dispatcher,Police Information Services,Police Services,61419
"Sr Specialist, Communications",Cultural Services,Community Services,61404.28
"Specialist, Customer Support",Utilities Customer Connections,Utility Services,61308
"Technician II, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,61186.9
"Technician II, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,61107.41
"Analyst I, Finance",PDT Administration,"Planning, Dev & Transportation",61000
"Sr Specialist, Enviro Sustain",Environmental Services,Sustainability Services,60999.9
"Technician I, Water Field Util",Ut Wtr Reclama & Biosolids Div,Utility Services,60962.15
"Technician II, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,60899.44
Librarian I,Library District,Library District,60892.01
"Sr Specialist, Env Compliance",Environmental Services,Sustainability Services,60864.96
"Lead Technician, Sciences",Utilities Customer Connections,Utility Services,60857.12
"Sr Technician, Water Field Ops",Ut Water Meters Div,Utility Services,60854
Water Utility Maint Operator,Ut Collection System Div,Utility Services,60854
Water Utility Maint Operator,Ut Collection System Div,Utility Services,60854
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,60854
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,60854
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,60854
"Technician I, Parks",Parks,Community Services,60772.28
"Technician II, Natural Areas",Natural Areas,Community Services,60768.76
"Sr Inspector, Zoning",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60747.75
"Sr Coordinator, Safety",Safety & Risk Management,Financial Services,60734.05
"Specialist, Public Engagement",Utilities Customer Connections,Utility Services,60633.13
Circulation Supervisor,Library District,Library District,60619.76
"Technician II, GIS",Information Technology,Information & Employee Svcs,60604.66
"Coordinator, Bldg & Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60572.04
"Coordinator, Bldg & Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60572.04
"Technician II, Facilities",Operation Services,Information & Employee Svcs,60569.6
"Sr Coordinator, Recreation",Recreation,Community Services,60543.47
"Sr Inspector, Zoning",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60522.8
"Specialist, Communications",Utilities Customer Connections,Utility Services,60515.18
"Sr Inspector, Construction",Streets,"Planning, Dev & Transportation",60512.52
"Asst Superintendent, Parks",Parks,Community Services,60430.8
"Technician II, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,60372.49
Librarian II,Library District,Library District,60343.09
"Specialist, City Planning",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60320
"Specialist, Econ Sustainabilty",Economic Health Office,Sustainability Services,60320
"Technician II, Client Services",Police Information Services,Police Services,60278
"Crew Chief, Parks",Parks,Community Services,60241.57
"Technician II, Natural Areas",Natural Areas,Community Services,60218
"Crew Chief, Parks",Parks,Community Services,60154.66
Curator,Cultural Services,Community Services,60127.25
"Specialist, Env Sustainability",Environmental Services,Sustainability Services,60017.73
"Specialist, Env Sustainability",Environmental Services,Sustainability Services,60013.98
Executive Admin Assistant,City Manager's Office,Executive Services,60000
"Supervisor, Cultural Services",Cultural Services,Community Services,59999.94
"Specialist, Public Engagement",Utilities Customer Connections,Utility Services,59999.94
Sr Legal Assistant,City Attorney's Office,Legal Services,59996.26
"Coordinator, Bldg & Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",59983.97
Administrative Assistant,Poudre Fire Authority,Poudre Fire Authority,59848.36
"Sr Coordinator, Public Engage",Cultural Services,Community Services,59800
"Operator II, Transportation Op",Traffic,"Planning, Dev & Transportation",59780.79
Natural Areas Trail Ranger,Natural Areas,Community Services,59740.02
Facility Maintenance Tech,Library District,Library District,59715
"Crew Chief, Parks",Parks,Community Services,59640
"Sr Coordinator, Active Modes",FC Moves,"Planning, Dev & Transportation",59488
"Technician II, Traffic Engr",Traffic,"Planning, Dev & Transportation",59484.19
"Technician II, Maintenance",Ut Water Production Div,Utility Services,59448.58
"Inspector, Code Compliance",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",59280.26
"Lead Technician, Video Prod",Comm. & Public Involvement,Information & Employee Svcs,59280
"Specialist, Communications",Comm. & Public Involvement,Information & Employee Svcs,59280
"Sr Coordinator, Recreation",Recreation,Community Services,59256.89
Mechanic,Operation Services,Information & Employee Svcs,59246
"Sr Coordinator, Recreation",Recreation,Community Services,59225.62
"Technician II, Client Services",Information Technology,Information & Employee Svcs,59198.26
"Lead Technician, Video Prod",Comm. & Public Involvement,Information & Employee Svcs,59172.76
"Technician II, Civil Engr",Engineering,"Planning, Dev & Transportation",59166.39
"Operator II, Transportation Op",Traffic,"Planning, Dev & Transportation",59106.63
"Crew Chief, Transportation Ops",Streets,"Planning, Dev & Transportation",59097.48
Deputy Court Administrator,Municipal Court,Judicial Services,59044.54
"Lead Rep, Customer Support",Utilities Customer Connections,Utility Services,59009.99
"Supervisor, Customer Support",Cultural Services,Community Services,58967.85
Project Coordinator,Ut Water Systems Engr Div,Utility Services,58863.38
"Sr Coordinator, Payroll",Accounting and Treasury,Financial Services,58841.65
"Officer II, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",58824.24
"Technician II, GIS",Broadband,Utility Services,58760
"Technician I, Water Field Util",Ut Wtr Reclama & Biosolids Div,Utility Services,58743.31
"Sr Inspector, Construction",Ut Enviro Regulatory Affairs,Utility Services,58734
Executive Admin Assistant,Police Administration,Police Services,58673.98
"Lead Coord, Utility Rate/Fee",Utility Financial Operations,Utility Services,58652.18
Plant Operator,Ut Water Production Div,Utility Services,58557
Executive Admin Assistant,City Manager's Office,Executive Services,58516.92
"Sr Coordinator, Risk Mgmt",Safety & Risk Management,Financial Services,58500
"Technician II, Fiber",Broadband,Utility Services,58500
